artist,datetime,content,sentiment
Coma_Cose,2025-02-16 00:48:47,"le mie preferite in ordine sparso  alcune saranno robbate ma vedo la potenziale top 3

lucio corsi
franci michielin (loveofmylife )
joan thiele
LA STREET SONG 
the kolors
serena brancale
giorgia",positive
Coma_Cose,2025-02-16 00:52:43,"Personale previsione della classifica finale di #SANREMO2025 

In top5 (ordine sparso):
- Giorgia
- Lucio Corsi
- Olly
- Fedez
- Simone Cristicchi

In top10 (ordine sparso, insieme agli altri sopracitati):
- Achille Lauro
- ",positive
Coma_Cose,2025-02-16 00:35:54,"Pronostico top 5 in ordine sparso: Giorgia, Achille Lauro, Lucio Corsi, Coma_Cose, Olly
#Sanremo20205",positive
Coma_Cose,2025-02-16 00:22:01,"Unpopular opinion: il mio podio
1) Lucio Corsi
2) Coma Cose
3) Fedez 
#Sanremo2025",positive
Coma_Cose,2025-02-16 00:29:56,"#Cuoricini  top…dopo tante lagne una canzone che spacca per testo e ritmo 
@coma_cose
 #sanremo_2025",positive
Coma_Cose,2025-02-16 00:58:44,"io dico solo che se vogliamo pensare all'eurovision vediamo di mandare qualcuno tra lucio corsi, gaia, sarah o coma cose #Sanremo2025",positive
Coma_Cose,2025-02-16 00:33:21,il tributo di robert pattinson e bong joon-ho a cuoricini dei coma_cose bravi !!!,positive
Coma_Cose,2025-02-16 00:28:06,"""Malavita"" de ""Coma Cose"", 2024. 

Vía Coma Cose (IG)",positive
Coma_Cose,2025-02-16 00:13:20,"Eu amo a música do Coma_Cose, mas quero Olly ganhando esse #sanremo2025",positive
Coma_Cose,2025-02-16 00:53:57,"Va bene basta. Per me: coma cose brunori corsi non in ordine. Domani vedo chi vince.
#Sanremo2025",positive
